,0
2020-08-22 18:00:00,0.0
2020-08-22 18:00:10,0.0
2020-08-22 18:00:20,0.0
2020-08-22 18:00:30,0.0
2020-08-22 18:00:40,0.0
2020-08-22 18:00:50,0.4166666666666667
2020-08-22 18:01:00,5.117077072871443
2020-08-22 18:01:10,11.120044134216018
2020-08-22 18:01:20,17.123525074896218
2020-08-22 18:01:30,23.120155606224248
2020-08-22 18:01:40,28.71351760737096
2020-08-22 18:01:50,30.006666666666664
2020-08-22 18:02:00,29.99
2020-08-22 18:02:10,30.000100002000043
2020-08-22 18:02:20,30.006666666666664
2020-08-22 18:02:30,29.99666666666667
2020-08-22 18:02:40,30.01
2020-08-22 18:02:50,30.016666666666666
2020-08-22 18:03:00,29.98
2020-08-22 18:03:10,29.98656666866663
2020-08-22 18:03:20,29.98323340199863
2020-08-22 18:03:30,29.983233335333292
2020-08-22 18:03:40,29.980000000000004
2020-08-22 18:03:50,30.023133137337254
2020-08-22 18:04:00,30.010099801996045
2020-08-22 18:04:10,30.006666666666664
2020-08-22 18:04:20,30.010100002000033
2020-08-22 18:04:30,30.013333333333335
2020-08-22 18:04:40,30.00019993733208
2020-08-22 18:04:50,30.52333333333333
2020-08-22 18:05:00,35.77679700260672
2020-08-22 18:05:10,44.03
2020-08-22 18:05:20,51.75
2020-08-22 18:05:30,62.04981420371592
2020-08-22 18:05:40,73.8229112084425
2020-08-22 18:05:50,81.01303273934522
2020-08-22 18:06:00,85.15666666666667
2020-08-22 18:06:10,88.5
2020-08-22 18:06:20,92.10302276429645
2020-08-22 18:06:30,98.60403414734962
2020-08-22 18:06:40,95.40363380600945
2020-08-22 18:06:50,97.31999999999998
2020-08-22 18:07:00,100.94558430262005
2020-08-22 18:07:10,100.46042103483704
2020-08-22 18:07:20,94.4996692732812
2020-08-22 18:07:30,97.2896626734132
2020-08-22 18:07:40,94.83666666666666
2020-08-22 18:07:50,92.06427523152648
2020-08-22 18:08:00,90.43303313933723
2020-08-22 18:08:10,89.46666774519201
2020-08-22 18:08:20,89.33029547257611
2020-08-22 18:08:30,89.61666666666667
2020-08-22 18:08:40,89.67910689641626
2020-08-22 18:08:50,90.6572667453349
2020-08-22 18:09:00,100.03365647312945
2020-08-22 18:09:10,112.02333333333335
2020-08-22 18:09:20,123.73960314127048
2020-08-22 18:09:30,135.63381516074818
2020-08-22 18:09:40,147.36424457320106
2020-08-22 18:09:50,150.2828332766678
2020-08-22 18:10:00,150.60666666666665
2020-08-22 18:10:10,150.63383354333754
2020-08-22 18:10:20,151.10718069694687
2020-08-22 18:10:30,150.76433647437332
2020-08-22 18:10:40,150.6728290501679
2020-08-22 18:10:50,150.42699466046008
2020-08-22 18:11:00,150.53949821003582
2020-08-22 18:11:10,150.203331886696
2020-08-22 18:11:20,150.03183467659062
2020-08-22 18:11:30,150.00433377335094
2020-08-22 18:11:40,150.022499603289
2020-08-22 18:11:50,150.02566730667294
2020-08-22 18:12:00,150.01383307666154
2020-08-22 18:12:10,150.01533440014296
2020-08-22 18:12:20,149.97566697332107
2020-08-22 18:12:30,150.0205002100042
2020-08-22 18:12:40,149.98383366998834
2020-08-22 18:12:50,150.82333333333335
2020-08-22 18:13:00,160.04771470858833
2020-08-22 18:13:10,172.02777591103643
2020-08-22 18:13:20,183.48333333333335
2020-08-22 18:13:30,194.70338501048693
2020-08-22 18:13:40,205.89999999999998
2020-08-22 18:13:50,208.73000000000002
2020-08-22 18:14:00,209.14193222802214
2020-08-22 18:14:10,210.14999999999998
